,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,42.81,30.91,3.47,3.46,11.41,14.16,4.82,1.5,12.20,13970000000.0,13770000000.0,19.82,2.13,3.41,16.73,3.41,2040000000.0,1.5,468000000.0,1.38,95.20,0.20,1930000000.0,5.89,1730000000.0,3.59,12.34,42.62,1.5,0.39,85.20,3270000.0,1.93,1.12,3300000.0,N/A
1,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,61.25,10.08,2.17,3.79,22.27,29.39,14.76,1.5,40.54,495820000000.0,519880000000.0,9.89,1.18,2.29,6.62,2.29,93630000000.0,1.5,50680000000.0,8.98,22.50,12.80,55840000000.0,10.20,79910000000.0,1.28,23.81,90.52,1.5,0.03,60.20,52540000.0,1.65,0.95,55510000.0,N/A
2,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,687.34,18.64,4.25,21.77,23.03,39.35,14.54,1.5,14.59,100300000000.0,123590000000.0,10.92,0.78,5.20,12.00,5.20,18360000000.0,1.5,5450000000.0,3.33,32.50,18.20,8600000000.0,5.32,31910000000.0,1.56,2.87,62.00,1.5,0.10,73.60,21760000.0,3.54,1.35,22530000.0,N/A
3,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,41.22,23.15,2.74,2.69,12.00,14.51,4.47,1.5,13.70,55240000000.0,59870000000.0,15.22,1.83,2.94,13.73,2.94,11660000000.0,1.5,2109999999.9999998,1.62,86.20,0.20,3960000000.0,2.69,8590000000.0,1.48,14.11,37.60,1.5,0.21,70.50,12430000.0,2.53,0.87,12680000.0,N/A
4,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,0.39,20.10,2.30,10.66,11.63,14.55,16.37,1.5,50.52,71910000000.0,69000000000.0,19.87,2.17,2.18,13.06,2.18,9810000000.0,1.5,3680000000.0,5.74,92.00,6.00,3040000000.0,4.87,28650000.0,1.41,10.92,115.44,1.5,0.21,83.10,10400000.0,3.25,1.66,10730000.0,N/A
5,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,27.07,61.13,9.47,6.78,15.76,20.46,5.66,1.5,10.16,48010000000.0,45820000000.0,25.32,1.20,9.04,33.25,9.04,4050000000.0,1.5,798970000.0,1.57,199.60,24.70,4099999999.9999995,8.19,1920000000.0,2.21,14.14,95.97,1.5,0.38,92.30,4390000.0,1.16,0.90,5040000.0,N/A
6,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,34.65,25.45,4.96,3.41,19.89,30.59,9.10,1.5,10.98,16960000000.0,14910000000.0,17.05,1.95,4.34,11.76,4.34,2260000000.0,1.5,682620000.0,2.15,8.00,0.30,3790000000.0,12.22,1730000000.0,7.82,16.11,54.72,1.5,0.75,88.30,4790000.0,2.64,1.55,5350000.0,N/A
7,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,37.10,14.43,0.35,1.26,2.46,2.67,2.65,1.5,106.26,22110000000.0,27530000000.0,13.25,5.62,0.43,10.49,0.43,4019999999.9999995,1.5,1590000000.0,2.61,53.30,17.80,1230000000.0,2.10,6650000000.0,1.63,30.49,37.63,1.5,2.23,77.00,12950000.0,3.92,2.26,12470000.0,N/A
8,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,44.58,25.67,3.44,8.77,13.49,18.57,3.02,1.5,24.93,39070000000.0,38110000000.0,23.24,2.55,3.32,15.78,3.32,4510000000.0,1.5,1470000000.0,3.34,8.80,7.40,2970000000.0,6.51,2009999999.9999998,1.08,9.87,85.76,1.5,0.14,78.10,5400000.0,3.50,1.16,5230000.0,N/A
9,N/A,N/A,aee,N/A,N/A,N/A,N/A,N/A,108.36,18.68,2.03,1.70,10.88,22.42,3.49,1.5,23.76,11660000000.0,19440000000.0,17.23,2.70,3.37,8.91,3.37,2600000000.0,1.5,576000000.0,2.57,2.80,4.30,13000000.0,0.05,7600000000.0,0.79,28.31,48.07,1.5,0.25,66.40,5260000.0,2.87,2.18,5340000.0,N/A
